gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associate's degree,standard,none,57,74,56
female,group C,some college,free/reduced,none,59,73,100
female,group B,high school,free/reduced,none,75,87,88
male,group D,bachelor's degree,free/reduced,completed,71,86,84
female,group C,some college,free/reduced,completed,52,75,100
female,group B,high school,free/reduced,none,79,66,50
female,group C,bachelor's degree,standard,none,34,73,66
male,group C,high school,standard,none,68,89,95
female,group B,some high school,standard,none,60,78,42
female,group D,some college,standard,none,79,70,83
female,group E,some high school,standard,completed,82,72,84
male,group B,high school,standard,completed,95,67,100
male,group A,associate's degree,free/reduced,none,58,50,44
male,group C,some high school,standard,completed,81,70,99
female,group D,bachelor's degree,free/reduced,none,71,94,67
male,group D,master's degree,free/reduced,none,43,64,63
male,group B,some college,standard,completed,100,92,62
male,group D,associate's degree,free/reduced,none,46,38,57
female,group B,associate's degree,standard,completed,85,94,90
female,group C,master's degree,standard,completed,85,80,69
female,group E,high school,standard,completed,80,67,92
male,group B,some high school,free/reduced,none,57,68,60
female,group B,some college,standard,none,82,65,60
female,group C,some college,standard,completed,54,54,74
female,group D,some high school,free/reduced,completed,68,79,73
male,group E,associate's degree,free/reduced,none,66,74,65
female,group E,some high school,standard,completed,61,79,81
male,group A,master's degree,standard,none,78,65,86
male,group B,high school,standard,none,85,57,95
male,group D,some high school,free/reduced,completed,71,73,69
female,group B,some high school,standard,none,77,91,57
male,group E,high school,standard,none,72,82,78
male,group D,high school,standard,completed,64,61,86
male,group B,some high school,standard,completed,73,83,57
female,group D,high school,standard,completed,76,76,69
female,group B,high school,standard,none,63,87,58
female,group C,high school,standard,completed,81,86,76
female,group C,some college,standard,none,75,37,66
female,group C,high school,standard,none,41,90,84
female,group D,high school,standard,none,46,62,54
female,group D,some high school,free/reduced,completed,74,53,45
male,group E,some high school,free/reduced,completed,58,64,63
female,group E,high school,standard,completed,76,81,79
male,group C,associate's degree,free/reduced,none,80,53,51
male,group B,master's degree,standard,none,49,85,68
female,group D,master's degree,standard,none,53,88,73
male,group E,some college,free/reduced,none,88,73,66
female,group C,some college,free/reduced,none,69,63,69
male,group C,high school,free/reduced,none,62,55,56
female,group C,associate's degree,standard,completed,66,96,100
male,group A,associate's degree,free/reduced,completed,69,57,87
female,group D,bachelor's degree,standard,completed,66,97,67
female,group C,bachelor's degree,standard,none,84,73,77
female,group D,some college,standard,none,64,75,76
male,group D,associate's degree,free/reduced,none,79,48,90
male,group D,bachelor's degree,standard,none,69,82,67
female,group C,high school,free/reduced,none,48,79,78
female,group C,master's degree,standard,none,64,63,82
female,group D,some high school,free/reduced,none,27,72,88
male,group D,master's degree,free/reduced,completed,76,82,97
female,group C,associate's degree,free/reduced,none,67,60,69
female,group E,some high school,standard,none,83,87,66
male,group B,associate's degree,standard,none,44,48,85
male,group E,some high school,standard,none,89,79,71
female,group B,associate's degree,standard,none,85,100,100
male,group B,bachelor's degree,standard,none,93,100,79
female,group C,some college,standard,none,71,84,75
male,group A,bachelor's degree,standard,none,90,76,67
female,group A,some high school,standard,completed,49,76,55
male,group A,high school,standard,none,81,66,79
male,group C,some college,free/reduced,none,50,82,55
male,group D,some high school,standard,none,46,59,86
female,group A,some college,free/reduced,none,54,79,50
male,group D,high school,free/reduced,none,64,100,74
female,group D,some college,standard,completed,65,84,100
female,group B,some college,free/reduced,none,74,48,39
male,group B,bachelor's degree,standard,none,39,57,100
female,group E,high school,free/reduced,none,32,81,61
male,group D,bachelor's degree,standard,none,94,76,74
male,group C,some college,standard,none,76,90,86
female,group D,high school,standard,none,52,77,79
male,group B,some college,standard,none,74,88,76
female,group C,some college,free/reduced,completed,90,72,92
female,group D,high school,free/reduced,completed,79,61,82
female,group B,some college,free/reduced,completed,77,70,100
male,group D,some high school,free/reduced,none,82,49,72
female,group C,high school,free/reduced,completed,62,100,100
female,group D,some college,standard,none,71,76,91
female,group C,some college,free/reduced,none,66,78,42
male,group C,bachelor's degree,standard,completed,73,82,100
male,group B,high school,standard,completed,74,64,67
male,group B,master's degree,standard,completed,85,81,100
male,group D,associate's degree,free/reduced,completed,78,95,78
male,group B,master's degree,standard,none,57,74,94
female,group A,bachelor's degree,standard,completed,88,75,70
female,group B,some high school,standard,none,59,77,75
male,group B,some college,standard,completed,75,92,78
male,group D,some high school,standard,completed,72,100,99
female,group C,bachelor's degree,free/reduced,none,71,80,80
female,group E,some college,free/reduced,none,36,82,81
male,group B,high school,standard,none,80,89,38
female,group D,master's degree,standard,none,65,57,77
male,group C,some high school,standard,none,92,57,86
female,group C,some college,standard,completed,75,69,86
female,group E,associate's degree,standard,none,73,50,90
male,group E,some high school,free/reduced,completed,95,87,69
female,group E,some college,standard,none,68,83,70
female,group B,bachelor's degree,standard,none,98,77,91
male,group B,some high school,standard,none,67,36,31
male,group D,some college,standard,completed,83,100,95
female,group C,high school,standard,none,76,60,73
female,group D,associate's degree,free/reduced,none,81,99,58
male,group C,some high school,free/reduced,none,62,46,73
male,group C,master's degree,free/reduced,completed,58,66,92
female,group D,bachelor's degree,free/reduced,none,55,41,86
female,group D,high school,standard,none,75,79,77
female,group A,high school,free/reduced,completed,64,66,88
female,group A,some college,standard,completed,87,65,92
female,group D,associate's degree,standard,none,91,58,69
male,group C,some college,standard,none,60,85,68
female,group B,some high school,standard,none,60,82,63
female,group C,some high school,standard,none,49,94,80
male,group D,master's degree,standard,completed,100,70,80
male,group D,some college,free/reduced,none,74,70,50
female,group C,bachelor's degree,free/reduced,none,87,55,46
male,group C,some college,standard,none,53,74,88
male,group B,master's degree,standard,none,74,66,68
male,group C,some high school,free/reduced,none,68,73,75
female,group C,some high school,standard,completed,70,90,97
female,group C,master's degree,standard,none,89,92,61
male,group D,master's degree,standard,completed,100,76,82
female,group A,high school,standard,completed,62,93,86
female,group A,high school,standard,none,60,74,78
female,group B,some college,free/reduced,none,57,70,85
male,group E,some college,free/reduced,none,90,62,46
male,group D,high school,free/reduced,none,77,59,76
female,group B,bachelor's degree,standard,none,75,100,87
male,group E,high school,free/reduced,completed,72,77,73
female,group C,associate's degree,free/reduced,none,49,75,63
male,group C,some high school,standard,none,85,71,79
male,group E,some high school,standard,none,67,100,74
female,group A,associate's degree,standard,none,61,95,83
female,group B,high school,standard,completed,83,70,90
female,group C,associate's degree,standard,none,69,74,68
male,group B,some high school,standard,completed,74,79,90
male,group D,master's degree,standard,completed,78,88,100
male,group B,associate's degree,standard,none,81,66,76
male,group B,bachelor's degree,standard,none,100,86,51
female,group B,some high school,free/reduced,none,72,86,64
male,group C,high school,standard,completed,90,58,85
female,group B,high school,standard,none,64,49,55
female,group B,some college,standard,completed,62,75,82
male,group E,high school,free/reduced,completed,83,67,55
male,group C,some high school,standard,completed,79,100,85
female,group C,high school,free/reduced,none,47,78,70
male,group A,high school,standard,none,64,86,46
male,group C,some college,standard,completed,73,79,88
male,group B,high school,standard,none,67,67,68
male,group D,high school,standard,completed,94,61,83
female,group B,associate's degree,free/reduced,none,78,81,63
female,group E,some college,free/reduced,none,91,77,60
female,group E,high school,standard,completed,83,100,72
male,group B,some college,free/reduced,none,65,70,66
male,group B,associate's degree,standard,none,55,75,77
female,group B,high school,standard,none,70,74,75
female,group D,some college,standard,none,67,87,74
female,group B,master's degree,standard,completed,56,66,74
male,group D,some college,free/reduced,none,60,78,59
male,group D,bachelor's degree,standard,none,70,77,100
female,group D,bachelor's degree,standard,none,76,62,62
female,group C,some high school,standard,completed,84,50,70
male,group E,some college,standard,none,64,71,100
female,group A,associate's degree,standard,completed,89,97,89
male,group C,master's degree,free/reduced,completed,73,100,61
female,group C,some college,standard,none,31,83,90
female,group E,some high school,standard,completed,70,100,65
male,group C,some college,standard,completed,96,82,93
female,group D,some high school,standard,none,40,90,70
female,group B,associate's degree,standard,none,73,72,67
female,group E,some college,free/reduced,completed,96,68,99
female,group C,associate's degree,free/reduced,completed,61,65,93
female,group C,bachelor's degree,standard,completed,80,55,98
female,group E,associate's degree,free/reduced,completed,55,96,84
female,group C,associate's degree,standard,none,97,68,67
female,group C,associate's degree,standard,completed,76,71,94
male,group C,bachelor's degree,free/reduced,completed,72,59,98
male,group B,bachelor's degree,free/reduced,none,91,71,76
female,group C,some high school,free/reduced,none,75,95,95
female,group B,some college,standard,none,55,100,90
female,group B,high school,standard,completed,66,58,86
male,group E,bachelor's degree,standard,none,75,78,81
male,group C,associate's degree,standard,completed,69,66,83
female,group C,some college,free/reduced,none,34,88,53
female,group C,high school,standard,none,68,76,69
female,group C,high school,standard,none,53,69,75
female,group D,associate's degree,standard,none,93,81,69
male,group E,high school,standard,completed,81,73,79
female,group E,some high school,standard,none,62,100,75
female,group C,bachelor's degree,standard,completed,71,93,91
female,group C,associate's degree,standard,none,43,83,84
male,group C,high school,standard,completed,56,42,81
female,group C,high school,standard,none,81,77,53
male,group C,master's degree,standard,none,100,100,100
female,group D,associate's degree,free/reduced,none,76,87,68
male,group C,associate's degree,standard,none,68,50,74
female,group C,high school,standard,none,63,71,67
male,group C,high school,standard,completed,62,62,70
male,group C,some high school,free/reduced,none,97,100,94
male,group B,associate's degree,free/reduced,none,60,76,85
male,group B,some high school,standard,none,99,63,79
male,group D,some high school,standard,none,90,78,69
male,group C,associate's degree,standard,completed,51,45,92
male,group B,master's degree,free/reduced,none,64,61,69
female,group C,associate's degree,standard,completed,69,78,77
male,group D,some college,standard,completed,71,92,85
female,group B,some college,free/reduced,none,66,46,66
male,group D,some college,free/reduced,none,100,70,74
female,group E,high school,standard,none,54,86,73
female,group C,some college,standard,none,71,53,82
male,group D,some college,standard,none,86,80,68
female,group A,some college,standard,completed,74,81,88
female,group E,bachelor's degree,standard,none,76,100,63
female,group C,master's degree,free/reduced,none,53,73,64
female,group E,some high school,free/reduced,completed,74,70,64
female,group C,some college,standard,none,84,82,67
female,group A,high school,standard,completed,83,58,93
female,group A,high school,standard,none,77,71,60
female,group D,high school,standard,none,95,63,61
female,group C,some high school,free/reduced,completed,83,72,94
male,group A,associate's degree,standard,completed,79,90,76
female,group D,some college,standard,completed,56,94,76
male,group D,bachelor's degree,standard,none,61,74,61
male,group C,some high school,standard,completed,72,78,88
female,group C,some high school,standard,none,74,95,82
female,group A,some college,free/reduced,none,54,56,84
male,group D,some high school,free/reduced,none,52,70,74
male,group C,high school,standard,none,50,77,67
male,group E,master's degree,free/reduced,none,48,71,70
male,group C,high school,standard,none,66,51,59
male,group C,high school,free/reduced,completed,46,92,93
male,group B,some college,standard,completed,62,74,97
female,group B,some college,standard,completed,68,86,70
male,group D,some college,free/reduced,none,50,60,70
female,group C,high school,standard,completed,82,72,71
male,group C,bachelor's degree,standard,none,83,93,55
male,group E,some high school,standard,none,63,90,75
female,group E,some college,standard,completed,68,88,75
male,group D,associate's degree,standard,none,76,83,62
female,group B,bachelor's degree,standard,none,63,80,53
male,group C,high school,free/reduced,none,50,65,45
female,group E,some college,standard,none,86,70,63
male,group C,some high school,standard,completed,91,93,79
female,group B,some high school,standard,none,80,62,60
male,group D,some high school,free/reduced,none,75,88,83
male,group C,associate's degree,standard,none,40,72,75
male,group C,high school,standard,none,88,75,79
male,group E,associate's degree,standard,completed,89,90,79
male,group D,some high school,free/reduced,completed,88,74,61
male,group C,bachelor's degree,free/reduced,completed,78,72,81
female,group C,bachelor's degree,standard,completed,81,79,64
male,group C,some high school,free/reduced,none,56,79,72
female,group B,some high school,standard,completed,79,67,60
male,group D,some high school,standard,none,65,70,87
female,group D,bachelor's degree,standard,none,87,79,76
male,group C,high school,standard,completed,52,93,96
male,group C,some college,standard,none,64,80,60
female,group E,some college,standard,completed,100,100,73
male,group A,bachelor's degree,standard,completed,69,83,89
male,group C,some college,standard,completed,73,78,96
male,group C,some college,standard,none,57,76,100
female,group D,master's degree,free/reduced,none,74,57,77
male,group B,some high school,free/reduced,completed,61,59,100
male,group D,bachelor's degree,standard,none,71,71,74
female,group C,some high school,standard,none,79,87,88
female,group D,some college,standard,completed,64,83,66
female,group A,bachelor's degree,standard,completed,92,71,88
male,group C,associate's degree,standard,completed,95,100,46
female,group C,associate's degree,standard,none,88,98,62
male,group B,high school,free/reduced,none,66,86,68
male,group B,some college,standard,none,100,63,55
female,group B,high school,standard,none,83,67,80
male,group C,some college,standard,none,80,100,84
male,group B,some college,free/reduced,none,54,84,64
female,group E,high school,standard,none,67,74,57
female,group C,high school,free/reduced,none,86,78,60
female,group D,high school,standard,none,94,90,65
female,group E,high school,standard,none,96,69,75
female,group A,some high school,standard,none,81,74,76
male,group D,bachelor's degree,standard,completed,60,93,79
female,group E,some college,free/reduced,none,75,54,94
female,group D,some high school,standard,completed,55,82,74
male,group C,associate's degree,free/reduced,none,45,51,94
male,group C,bachelor's degree,standard,none,77,62,59
male,group A,high school,free/reduced,none,68,63,65
male,group C,some high school,free/reduced,none,79,75,87
female,group E,some high school,standard,none,77,73,89
female,group E,some high school,standard,completed,84,66,68
male,group A,associate's degree,free/reduced,completed,58,85,86
male,group D,master's degree,standard,none,73,58,83
male,group C,some high school,free/reduced,none,46,68,61
female,group E,associate's degree,standard,completed,44,98,92
male,group A,some high school,standard,none,80,69,99
male,group E,some college,standard,none,62,73,83
female,group D,associate's degree,free/reduced,completed,87,83,84
male,group B,high school,free/reduced,none,83,41,77
male,group A,some high school,standard,completed,74,84,55
female,group D,some college,free/reduced,none,77,100,80
female,group B,master's degree,free/reduced,none,62,71,56
male,group C,high school,standard,none,42,76,69
female,group E,high school,standard,completed,75,90,100
female,group C,some high school,free/reduced,none,56,89,61
female,group C,some college,standard,completed,73,90,61
female,group C,some college,standard,completed,100,51,100
male,group A,bachelor's degree,free/reduced,completed,52,83,62
male,group E,associate's degree,standard,none,77,100,66
female,group C,bachelor's degree,free/reduced,none,52,83,88
male,group B,bachelor's degree,free/reduced,none,81,51,71
male,group C,high school,free/reduced,none,72,78,49
female,group E,some college,standard,completed,85,64,89
male,group B,high school,standard,none,53,92,71
female,group E,high school,standard,completed,67,64,100
male,group D,master's degree,standard,none,85,82,67
male,group D,associate's degree,free/reduced,none,95,59,85
male,group E,master's degree,standard,none,80,69,100
female,group D,some college,standard,completed,68,100,70
male,group E,some college,standard,none,75,72,75
female,group B,some college,standard,none,100,63,80
female,group D,some high school,standard,completed,79,60,66
female,group C,high school,standard,none,90,49,79
male,group C,some college,free/reduced,none,55,53,65
female,group E,some high school,standard,none,68,78,65
male,group E,master's degree,free/reduced,none,76,84,71
male,group D,some high school,free/reduced,none,69,62,68
female,group C,high school,standard,none,62,96,78
female,group C,associate's degree,free/reduced,none,53,59,65
female,group C,some high school,standard,none,86,71,60
male,group C,bachelor's degree,standard,none,92,62,73
male,group C,associate's degree,standard,none,90,88,74
female,group A,some high school,standard,none,98,100,68
male,group A,associate's degree,free/reduced,none,65,46,74
female,group D,associate's degree,free/reduced,none,64,66,42
male,group C,associate's degree,free/reduced,none,86,88,55
male,group E,bachelor's degree,standard,none,83,53,74
male,group D,associate's degree,standard,completed,59,91,68
male,group A,some college,free/reduced,completed,57,91,98
male,group B,high school,standard,none,80,73,73
female,group B,associate's degree,standard,none,67,83,82
female,group E,master's degree,standard,none,71,100,67
female,group B,some college,standard,completed,95,100,78
female,group C,associate's degree,standard,none,85,74,61
male,group E,some college,standard,none,84,66,72
male,group E,associate's degree,standard,none,49,66,63
male,group B,master's degree,standard,none,79,85,75
female,group A,some high school,standard,none,82,57,34
male,group B,high school,standard,completed,53,71,62
female,group A,some college,standard,completed,62,79,100
female,group B,some college,free/reduced,none,56,62,85
male,group C,some college,standard,none,70,86,98
male,group E,some high school,free/reduced,none,91,100,85
male,group C,some college,free/reduced,none,96,71,84
female,group D,some college,standard,none,60,70,67
male,group B,some college,free/reduced,none,72,79,52
female,group D,associate's degree,free/reduced,completed,84,81,93
male,group D,associate's degree,standard,completed,80,100,85
male,group E,associate's degree,standard,completed,91,82,100
female,group E,bachelor's degree,standard,completed,90,80,76
female,group C,associate's degree,free/reduced,none,97,45,100
female,group B,some college,free/reduced,none,86,50,68
male,group B,some college,free/reduced,none,50,39,88
female,group C,some high school,free/reduced,none,80,74,91
male,group E,high school,standard,none,83,53,59
male,group C,some college,free/reduced,completed,72,93,68
male,group D,bachelor's degree,standard,none,94,79,57
female,group C,associate's degree,free/reduced,none,73,65,55
male,group B,some high school,standard,none,72,62,81
female,group C,some college,standard,completed,75,90,82
male,group D,high school,free/reduced,none,33,56,65
male,group D,associate's degree,free/reduced,none,60,56,78
male,group C,bachelor's degree,standard,none,66,94,47
male,group B,some college,standard,completed,54,84,97
female,group D,some college,standard,completed,99,78,74
female,group B,high school,free/reduced,none,70,78,82
female,group E,some college,standard,completed,72,80,90
female,group B,bachelor's degree,standard,none,65,88,95
female,group B,associate's degree,standard,completed,81,72,74
female,group C,some college,standard,none,88,100,37
female,group C,high school,standard,none,54,67,73
female,group C,some high school,standard,completed,73,98,80
female,group C,some high school,free/reduced,none,70,65,51
male,group E,high school,free/reduced,none,30,80,64
male,group C,high school,free/reduced,completed,76,82,69
female,group C,master's degree,standard,completed,79,100,66
female,group C,some college,standard,none,69,62,89
female,group A,high school,free/reduced,none,55,83,54
male,group C,some high school,free/reduced,completed,72,99,65
female,group B,high school,standard,none,100,80,64
female,group D,bachelor's degree,free/reduced,completed,67,77,96
female,group A,some college,free/reduced,none,71,57,65
female,group E,associate's degree,free/reduced,completed,100,68,83
female,group C,bachelor's degree,free/reduced,none,58,99,65
male,group E,some high school,standard,none,95,63,79
male,group C,some college,standard,none,72,60,100
male,group A,master's degree,standard,none,97,100,87
male,group D,some college,standard,completed,90,92,92
male,group D,some high school,free/reduced,completed,74,100,80
female,group D,master's degree,standard,none,73,71,53
male,group C,bachelor's degree,standard,none,67,80,62
male,group D,some college,free/reduced,none,67,64,73
female,group D,some college,free/reduced,none,82,74,61
male,group D,high school,free/reduced,none,60,43,53
female,group C,bachelor's degree,standard,completed,73,93,51
female,group D,some college,free/reduced,completed,68,87,58
male,group D,some high school,standard,none,90,73,65
male,group E,associate's degree,standard,none,84,74,70
male,group C,master's degree,standard,none,63,68,64
female,group C,bachelor's degree,standard,none,67,89,84
male,group D,high school,free/reduced,none,69,53,68
male,group C,some high school,standard,none,92,83,88
female,group D,master's degree,standard,none,92,100,73
male,group C,master's degree,free/reduced,none,50,95,78
female,group B,some college,free/reduced,completed,73,53,79
female,group D,associate's degree,standard,none,59,70,55
female,group B,some college,free/reduced,none,66,76,71
male,group B,some college,free/reduced,none,89,69,54
female,group D,some high school,free/reduced,completed,47,63,71
female,group D,some high school,free/reduced,none,40,69,58
female,group E,high school,free/reduced,none,49,72,72
female,group B,bachelor's degree,free/reduced,none,73,97,53
female,group B,some high school,standard,none,78,70,71
male,group E,high school,standard,none,75,99,83
female,group B,some college,standard,completed,96,61,95
male,group B,high school,free/reduced,none,35,53,57
male,group C,some high school,standard,none,90,84,75
female,group C,some college,free/reduced,none,60,83,68
female,group E,high school,standard,completed,91,70,100
male,group D,associate's degree,standard,completed,57,81,58
female,group D,bachelor's degree,standard,completed,81,66,65
female,group B,some high school,standard,none,74,67,100
male,group C,bachelor's degree,standard,completed,98,90,77
male,group C,bachelor's degree,standard,completed,55,77,58
male,group B,bachelor's degree,free/reduced,none,63,64,63
female,group B,associate's degree,standard,none,59,65,37
male,group C,associate's degree,standard,completed,85,69,86
male,group B,associate's degree,standard,none,86,98,86
female,group C,associate's degree,standard,completed,99,85,68
male,group D,some high school,standard,none,59,58,68
female,group A,master's degree,free/reduced,none,80,65,90
female,group C,some college,free/reduced,none,88,54,43
male,group D,associate's degree,standard,completed,52,65,57
female,group D,high school,standard,completed,88,99,71
female,group D,some high school,standard,none,83,71,60
male,group C,some college,standard,none,70,100,63
male,group D,some college,free/reduced,none,49,71,56
male,group B,some college,standard,none,86,73,80
male,group C,high school,free/reduced,completed,52,83,70
male,group B,high school,standard,none,68,36,78
female,group C,some college,standard,none,74,81,81
female,group C,high school,standard,none,81,70,73
female,group B,master's degree,standard,completed,72,100,59
female,group D,some high school,free/reduced,none,54,80,73
male,group C,high school,standard,completed,78,65,75
female,group B,high school,free/reduced,none,86,83,68
female,group B,some college,free/reduced,none,100,63,89
female,group C,some college,standard,completed,55,66,73
female,group C,associate's degree,standard,none,77,76,96
male,group C,master's degree,standard,completed,61,80,100
female,group B,high school,standard,none,85,93,83
female,group D,associate's degree,free/reduced,completed,60,84,56
female,group E,some high school,standard,completed,68,80,44
female,group C,high school,free/reduced,completed,65,85,88
male,group D,some college,standard,none,67,90,74
female,group E,some high school,standard,completed,83,93,64
female,group E,associate's degree,free/reduced,completed,80,98,93
female,group D,associate's degree,standard,none,69,85,64
male,group E,associate's degree,free/reduced,none,51,70,69
male,group E,some college,standard,completed,92,95,83
male,group D,some college,free/reduced,none,66,65,49
male,group C,some college,free/reduced,completed,92,81,71
male,group A,some high school,free/reduced,completed,62,100,92
female,group A,some high school,standard,none,50,94,75
female,group C,associate's degree,free/reduced,none,69,70,87
male,group C,master's degree,standard,none,89,70,97
female,group C,some high school,free/reduced,none,73,86,70
male,group C,some college,standard,completed,77,94,45
female,group C,associate's degree,standard,none,57,80,56
male,group D,bachelor's degree,standard,none,96,79,89
male,group B,some college,standard,completed,63,90,57
female,group B,associate's degree,standard,none,60,80,70
male,group D,associate's degree,free/reduced,completed,82,70,80
male,group D,bachelor's degree,standard,none,47,78,100
male,group E,some high school,free/reduced,none,82,74,60
female,group E,master's degree,standard,none,80,72,71
female,group E,some high school,free/reduced,completed,85,92,77
male,group C,bachelor's degree,free/reduced,completed,80,98,84
female,group C,some high school,standard,completed,74,94,75
female,group B,high school,free/reduced,completed,51,72,93
male,group D,some high school,free/reduced,completed,68,90,63
male,group E,some college,free/reduced,completed,60,73,85
female,group C,high school,standard,none,79,63,81
female,group C,some high school,standard,completed,85,88,75
female,group C,some college,free/reduced,completed,91,74,89
female,group B,some college,standard,completed,83,100,82
male,group B,associate's degree,free/reduced,none,82,87,82
female,group A,bachelor's degree,standard,none,69,89,80
female,group E,associate's degree,free/reduced,completed,64,78,84
male,group C,some high school,standard,none,77,76,66
female,group D,high school,standard,none,69,64,65
female,group D,bachelor's degree,free/reduced,completed,78,52,94
male,group B,some high school,free/reduced,none,44,55,76
male,group B,some college,free/reduced,none,53,66,50
male,group D,master's degree,free/reduced,none,84,43,80
male,group B,master's degree,standard,none,83,79,40
female,group E,some college,standard,none,56,74,69
male,group B,associate's degree,standard,completed,87,79,97
male,group D,some college,standard,completed,69,70,80
male,group D,associate's degree,standard,completed,79,78,83
male,group B,some high school,free/reduced,completed,95,99,26
male,group B,some high school,standard,none,82,82,64
male,group E,associate's degree,standard,completed,94,76,92
female,group B,high school,standard,none,99,71,81
male,group C,associate's degree,standard,none,60,73,93
female,group C,high school,standard,completed,60,71,81
male,group B,bachelor's degree,free/reduced,completed,57,64,74
male,group D,bachelor's degree,standard,none,70,94,58
male,group D,some college,standard,completed,48,76,78
male,group C,associate's degree,free/reduced,none,65,51,48
female,group D,high school,standard,none,64,74,45
male,group B,some college,free/reduced,none,77,67,55
male,group A,high school,standard,none,75,49,95
female,group C,bachelor's degree,standard,none,67,76,71
female,group E,bachelor's degree,standard,none,88,95,79
female,group A,bachelor's degree,free/reduced,none,83,82,70
male,group B,bachelor's degree,standard,none,64,100,44
female,group C,master's degree,standard,completed,72,96,99
male,group D,high school,standard,none,38,93,40
female,group A,master's degree,free/reduced,completed,56,100,68
male,group C,some college,free/reduced,none,51,87,68
female,group D,some college,standard,none,69,78,80
male,group C,some college,free/reduced,completed,58,93,67
female,group B,high school,free/reduced,none,57,61,41
male,group B,high school,standard,none,48,75,65
male,group C,high school,standard,none,73,65,66
male,group C,some high school,standard,none,75,82,63
male,group E,some college,free/reduced,none,69,62,82
female,group D,bachelor's degree,standard,none,72,65,60
female,group D,associate's degree,standard,none,48,87,82
female,group E,some college,standard,completed,66,79,80
female,group C,some college,standard,none,68,47,84
male,group C,some college,free/reduced,none,54,42,61
